month,year,month_number,month_name,registrations
2015-01-01,2015,1,January,14848
2015-02-01,2015,2,February,18527
2015-03-01,2015,3,March,21992
2015-04-01,2015,4,April,17797
2015-05-01,2015,5,May,18818
2015-06-01,2015,6,June,21305
2015-07-01,2015,7,July,22793
2015-08-01,2015,8,August,12011
2015-09-01,2015,9,September,18162
2015-10-01,2015,10,October,19348
2015-11-01,2015,11,November,19009
2015-12-01,2015,12,December,19501
2016-01-01,2016,1,January,15878
2016-02-01,2016,2,February,17847
2016-03-01,2016,3,March,19680
2016-04-01,2016,4,April,20317
2016-05-01,2016,5,May,20829
2016-06-01,2016,6,June,23363
2016-07-01,2016,7,July,22756
2016-08-01,2016,8,August,14173
2016-09-01,2016,9,September,18511
2016-10-01,2016,10,October,19942
2016-11-01,2016,11,November,22739
2016-12-01,2016,12,December,23503
2017-01-01,2017,1,January,17675
2017-02-01,2017,2,February,18225
2017-03-01,2017,3,March,23246
2017-04-01,2017,4,April,18946
2017-05-01,2017,5,May,22542
2017-06-01,2017,6,June,26938
2017-07-01,2017,7,July,25784
2017-08-01,2017,8,August,16178
2017-09-01,2017,9,September,21392
2017-10-01,2017,10,October,23672
2017-11-01,2017,11,November,25259
2017-12-01,2017,12,December,24797
2018-01-01,2018,1,January,22332
2018-02-01,2018,2,February,22802
2018-03-01,2018,3,March,26980
2018-04-01,2018,4,April,24748
2018-05-01,2018,5,May,27916
2018-06-01,2018,6,June,31342
2018-07-01,2018,7,July,31879
2018-08-01,2018,8,August,31003
2018-09-01,2018,9,September,18270
2018-10-01,2018,10,October,22965
2018-11-01,2018,11,November,22985
2018-12-01,2018,12,December,27388
2019-01-01,2019,1,January,21753
2019-02-01,2019,2,February,22447
2019-03-01,2019,3,March,27120
2019-04-01,2019,4,April,27071
2019-05-01,2019,5,May,28065
2019-06-01,2019,6,June,28380
2019-07-01,2019,7,July,31243
2019-08-01,2019,8,August,18964
2019-09-01,2019,9,September,24327
2019-10-01,2019,10,October,28286
2019-11-01,2019,11,November,27540
2019-12-01,2019,12,December,28350
2020-01-01,2020,1,January,22560
2020-02-01,2020,2,February,22876
2020-03-01,2020,3,March,10950
2020-04-01,2020,4,April,745
2020-05-01,2020,5,May,12292
2020-06-01,2020,6,June,26536
2020-07-01,2020,7,July,34642
2020-08-01,2020,8,August,17776
2020-09-01,2020,9,September,22207
2020-10-01,2020,10,October,24457
2020-11-01,2020,11,November,25711
2020-12-01,2020,12,December,36197
2021-01-01,2021,1,January,10840
2021-02-01,2021,2,February,18166
2021-03-01,2021,3,March,23124
2021-04-01,2021,4,April,21212
2021-05-01,2021,5,May,23744
2021-06-01,2021,6,June,25421
2021-07-01,2021,7,July,22387
2021-08-01,2021,8,August,14271
2021-09-01,2021,9,September,19999
2021-10-01,2021,10,October,20414
2021-11-01,2021,11,November,24051
2021-12-01,2021,12,December,31819
2022-01-01,2022,1,January,14566
2022-02-01,2022,2,February,21406
2022-03-01,2022,3,March,20477
2022-04-01,2022,4,April,21612
2022-05-01,2022,5,May,24544
2022-06-01,2022,6,June,28610
2022-07-01,2022,7,July,24109
2022-08-01,2022,8,August,17258
2022-09-01,2022,9,September,23727
2022-10-01,2022,10,October,23024
2022-11-01,2022,11,November,24892
2022-12-01,2022,12,December,26507
2023-01-01,2023,1,January,21822
2023-02-01,2023,2,February,24618
2023-03-01,2023,3,March,30090
2023-04-01,2023,4,April,23370
2023-05-01,2023,5,May,27191
2023-06-01,2023,6,June,29996
2023-07-01,2023,7,July,26732
2023-08-01,2023,8,August,17838
2023-09-01,2023,9,September,23876
2023-10-01,2023,10,October,27313
2023-11-01,2023,11,November,28250
2023-12-01,2023,12,December,29862
2024-01-01,2024,1,January,22281
2024-02-01,2024,2,February,22960
2024-03-01,2024,3,March,22660
2024-04-01,2024,4,April,26117
2024-05-01,2024,5,May,27059
2024-06-01,2024,6,June,30943
2024-07-01,2024,7,July,27555
2024-08-01,2024,8,August,17194
2024-09-01,2024,9,September,27152
2024-10-01,2024,10,October,29777
2024-11-01,2024,11,November,28924
2024-12-01,2024,12,December,34258
2025-01-01,2025,1,January,23370
2025-02-01,2025,2,February,23929
2025-03-01,2025,3,March,26127
2025-04-01,2025,4,April,24860
2025-05-01,2025,5,May,28743
2025-06-01,2025,6,June,34107
2025-07-01,2025,7,July,31816
2025-08-01,2025,8,August,19839
2025-09-01,2025,9,September,31228
2025-10-01,2025,10,October,34900
2025-11-01,2025,11,November,34700
2025-12-01,2025,12,December,38018
