position,municipality_name,registrations,share_of_total,cumulative_share
1,Alcobendas,561569,0.1802753266948373,0.1802753266948373
2,Madrid,529575,0.17000458738715718,0.3502799140819945
3,Colmenar del Arroyo,260362,0.0835816161663504,0.4338615302483449
4,Robledo de Chavela,213390,0.06850262739469475,0.5023641576430397
5,Venturada,157417,0.050534130449368116,0.5528982880924077
6,Brunete,145911,0.046840465184813274,0.599738753277221
7,Majadahonda,121351,0.038956194465408885,0.6386949477426299
8,Boadilla del Monte,119367,0.03831928920859706,0.677014236951227
9,Rozas de Puerto Real,118877,0.03816198901916269,0.7151762259703897
10,Moralzarzal,105784,0.03395886375331735,0.749135089723707
11,Torrelaguna,64214,0.020614029314976936,0.7697491190386839
12,Patones,46727,0.015000338676938476,0.7847494577156224
13,Alcalá de Henares,39401,0.012648540334497247,0.7973979980501197
14,Leganés,33560,0.010773457872280593,0.8081714559224003
15,Móstoles,31762,0.010196262483294881,0.8183677184056951
16,Fuenlabrada,31384,0.01007491662287408,0.8284426350285692
17,Getafe,30813,0.009891613749063824,0.8383342487776331
18,Alcorcón,28315,0.009089703803743295,0.8474239525813764
19,Ajalvir,24478,0.007857947014233741,0.8552818995956101
20,Pozuelo de Alarcón,23850,0.007656345955121935,0.8629382455507321
21,Las Rozas de Madrid,23785,0.007635479603462274,0.8705737251541943
22,Rivas-Vaciamadrid,22863,0.007339498430689845,0.8779132235848841
23,Torrejón de Ardoz,21272,0.006828754346220285,0.8847419779311044
24,San Sebastián de los Reyes,19124,0.006139201679067165,0.8908811796101715
25,Collado Mediano,16778,0.0053860868945507685,0.8962672665047223
26,Parla,15926,0.0051125771774118214,0.9013798436821342
27,Coslada,14620,0.004693324019450008,0.9060731677015842
28,Colmenar Viejo,13359,0.004288516797252576,0.9103616844988368
29,Valdemoro,13324,0.004277281069435835,0.9146389655682726
30,Tres Cantos,12956,0.004159145416962675,0.9187981109852352
31,Villanueva de Perales,12539,0.004025279745546078,0.9228233907307813
32,Pinto,11703,0.0037569063611233543,0.9265802970919047
33,Navacerrada,10390,0.003335406057598193,0.9299157031495029
34,Aranjuez,9952,0.0031947989494915514,0.9331105020989945
35,Collado Villalba,9309,0.0029883825784582847,0.9360988846774527
36,La Hiruela,9123,0.0029286727106321766,0.939027557388085
37,Arganda del Rey,8958,0.002875704279496113,0.941903261667581
38,San Fernando de Henares,7384,0.0023704175485375414,0.9442736792161186
39,Arroyomolinos,7359,0.002362392028668441,0.946636071244787
40,Redueña,7176,0.002303645223226625,0.9489397164680137
41,Villaviciosa de Odón,6583,0.0021132798919315595,0.9510529963599452
42,Torremocha de Jarama,6245,0.00200477486330132,0.9530577712232465
43,Galapagar,5880,0.001887602273212452,0.954945373496459
44,Casarrubuelos,5691,0.0018269293430020516,0.956772302839461
45,Torrelodones,5384,0.0017283759590094967,0.9585006787984706
46,Paracuellos de Jarama,5295,0.0016998051082754988,0.9602004839067461
47,Villamanrique de Tajo,5029,0.0016144135768682687,0.9618148974836143
48,Villanueva de la Cañada,4812,0.0015447520644044758,0.9633596495480188
49,Navalcarnero,4720,0.0015152181512861859,0.964874867699305
50,Algete,4320,0.001386809833380577,0.9662616775326855
51,San Agustín del Guadalix,3871,0.0012426714965315308,0.967504349029217
52,Villanueva del Pardillo,3591,0.0011527856739976046,0.9686571347032147
53,Mejorada del Campo,3572,0.0011466862788970882,0.9698038209821117
54,Villalbilla,3516,0.0011287091143903029,0.970932530096502
55,Ciempozuelos,3488,0.0011197205321369103,0.972052250628639
56,Humanes de Madrid,3395,0.001089865598223856,0.9731421162268629
57,El Escorial,3382,0.0010856923278919238,0.9742278085547548
58,Meco,2894,9.290341800470809e-4,0.9751568427348019
59,Guadarrama,2686,8.622618547361642e-4,0.976019104589538
60,Alpedrete,2588,8.308018168492901e-4,0.9768499064063872
61,San Martín de la Vega,2578,8.275916089016498e-4,0.9776774980152889
62,San Lorenzo de El Escorial,2574,8.263075257225937e-4,0.9785038055410116
63,Velilla de San Antonio,2500,8.02551986910056e-4,0.9793063575279216
64,Valdemorillo,2484,7.974156541938317e-4,0.9801037731821154
65,Daganzo de Arriba,2386,7.659556163069575e-4,0.9808697287984224
66,Navas del Rey,2357,7.566460132588009e-4,0.9816263748116811
67,Loeches,2192,7.036775821227372e-4,0.9823300523938039
68,Griñón,2131,6.840953136421318e-4,0.983014147707446
69,Torrejón de la Calzada,1892,6.073713436935304e-4,0.9836215190511396
70,Soto del Real,1783,5.723800770642519e-4,0.9841938991282039
71,Sevilla la Nueva,1773,5.691698691166118e-4,0.9847630689973205
72,Hoyo de Manzanares,1613,5.178065419543682e-4,0.9852808755392748
73,Cobeña,1612,5.174855211596041e-4,0.9857983610604344
74,Colmenarejo,1610,5.168434795700762e-4,0.9863152045400044
75,Manzanares el Real,1532,4.918038575784824e-4,0.986807008397583
76,Camarma de Esteruelas,1403,4.503921750539235e-4,0.9872574005726369
77,Serranillos del Valle,1364,4.378723640581266e-4,0.987695272936695
78,Torres de la Alameda,1347,4.324150105471382e-4,0.9881276879472422
79,El Boalo,1333,4.279207194204419e-4,0.9885556086666626
80,El Molar,1275,4.093015133241286e-4,0.9889649101799867
81,El Álamo,1239,3.977447647126238e-4,0.9893626549446993
82,Guadalix de la Sierra,1208,3.877931200749391e-4,0.9897504480647743
83,Cubas de la Sagra,1198,3.845829121272989e-4,0.9901350309769016
84,Nuevo Baztán,1104,3.5440695741948075e-4,0.9904894379343211
85,Fuente el Saz de Jarama,1102,3.5376491582995274e-4,0.990843202850151
86,Moraleja de Enmedio,1097,3.521598118561326e-4,0.9911953626620071
87,Campo Real,1086,3.4862858311372833e-4,0.9915439912451208
88,Miraflores de la Sierra,1036,3.325775433755272e-4,0.9918765687884964
89,San Martín de Valdeiglesias,1016,3.261571274802468e-4,0.9922027259159767
90,Pedrezuela,986,3.165265036373261e-4,0.992519252419614
91,Cercedilla,971,3.117111917158658e-4,0.9928309636113298
92,Colmenar de Oreja,970,3.1139017092110175e-4,0.9931423537822509
93,Morata de Tajuña,967,3.104271085368097e-4,0.9934527808907877
94,Buitrago del Lozoya,959,3.078589421786975e-4,0.9937606398329665
95,Becerril de la Sierra,931,2.9887035992530485e-4,0.9940595101928917
96,Villarejo de Salvanés,886,2.8442442416092386e-4,0.9943439346170527
97,Torrejón de Velasco,798,2.561745942216899e-4,0.9946001092112744
98,Valdeolmos-Alalpardo,773,2.481490743525893e-4,0.994848258285627
99,Los Molinos,760,2.4397580402065705e-4,0.9950922340896476
100,Villa del Prado,730,2.3434518017773637e-4,0.9953265792698254
101,Chinchón,680,2.1829414043953525e-4,0.9955448734102649
102,Valdetorres de Jarama,662,2.1251576613378286e-4,0.9957573891763987
103,Quijorna,634,2.0352718388039022e-4,0.9959609163602791
104,Talamanca de Jarama,598,1.919704352688854e-4,0.9961528867955479
105,Chapinería,450,1.444593576438101e-4,0.9962973461531918
106,Los Santos de la Humosa,440,1.4124914969616988e-4,0.9964385953028879
107,Fresno de Torote,428,1.373969001590016e-4,0.9965759922030469
108,Navalagamella,398,1.2776627631608093e-4,0.996703758479363
109,La Cabrera,397,1.274452555213169e-4,0.9968312037348843
110,Aldea del Fresno,393,1.261611723422608e-4,0.9969573649072266
111,Bustarviejo,382,1.2262994359985656e-4,0.9970799948508264
