year,propulsion_type,registrations,annual_total,annual_share
2015,Diesel,167080,223539,0.7474310970345219
2015,Electric,351,223539,0.0015701958047589012
2015,Hybrid,2215,223539,0.009908785491569703
2015,Petrol,53893,223539,0.24108992166914944
2016,Diesel,166891,239151,0.6978478032707369
2016,Electric,517,239151,0.002161814083988777
2016,Hybrid,8817,239151,0.036867920267947864
2016,Petrol,62926,239151,0.26312246237732645
2017,Diesel,160376,262967,0.6098712005688927
2017,Electric,1317,262967,0.005008232972198033
2017,Hybrid,18077,262967,0.06874246578468021
2017,Petrol,83197,262967,0.3163781006742291
2018,Diesel,155025,303094,0.5114749879575313
2018,Electric,2368,303094,0.007812757758319201
2018,Hybrid,29808,303094,0.09834572772803157
2018,Petrol,115893,303094,0.3823665265561179
2019,Diesel,129457,302110,0.4285094833007845
2019,Electric,3453,302110,0.01142961173082652
2019,Hybrid,44930,302110,0.14872066465856806
2019,Petrol,124270,302110,0.4113402403098209
2020,Diesel,98847,251184,0.39352426906172366
2020,Electric,5382,251184,0.021426523982419263
2020,Hybrid,60001,251184,0.238872698898019
2020,Petrol,86954,251184,0.34617650805783806
2021,Diesel,77127,249980,0.30853268261460914
2021,Electric,6852,249980,0.027410192815425234
2021,Hybrid,90092,249980,0.36039683174653975
2021,Petrol,75909,249980,0.3036602928234259
2022,Diesel,69479,266093,0.2611079584957139
2022,Electric,9592,266093,0.03604754728609922
2022,Hybrid,106162,266093,0.39896577512373493
2022,Petrol,80860,266093,0.30387871909445197
2023,Diesel,58322,303637,0.19207804055500483
2023,Electric,16551,303637,0.05450916719635618
2023,Hybrid,141576,303637,0.4662672862661665
2023,Petrol,87188,303637,0.2871455059824725
2024,Diesel,50665,305413,0.16589012255535945
2024,Electric,19367,305413,0.06341249390170033
2024,Hybrid,160339,305413,0.5249907502300164
2024,Petrol,75042,305413,0.2457066333129238
2025,Diesel,35895,339841,0.10562292366135928
2025,Electric,31357,339841,0.0922696202047428
2025,Hybrid,206558,339841,0.6078077689272336
2025,Petrol,66031,339841,0.1942996872066643
